,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
7252,Latvia,Kuldiga,43,Good,1,Good,36,Good,0,Good,43,Good
7253,India,Kulu,68,Moderate,1,Good,48,Good,0,Good,68,Moderate
7254,Germany,Kummersbruck,53,Moderate,1,Good,46,Good,1,Good,53,Moderate
7255,Switzerland,Kussnacht,40,Good,1,Good,32,Good,1,Good,40,Good
7256,France,La Seyne Sur Mer,108,Unhealthy(SG),1,Good,22,Good,16,Good,108,Unhealthy(SG)
7257,Belgium,Laarne,41,Good,1,Good,27,Good,5,Good,41,Good
7258,Russia,Labinsk,35,Good,1,Good,35,Good,1,Good,24,Good
7259,Cameroon,Lagdo,64,Moderate,2,Good,15,Good,0,Good,64,Moderate
7260,Uganda,Kamwenge,63,Moderate,2,Good,16,Good,0,Good,63,Moderate
7261,China,Karamay,104,Unhealthy(SG),1,Good,41,Good,0,Good,104,Unhealthy(SG)
7262,Indonesia,Karangsembung,73,Moderate,1,Good,41,Good,0,Good,73,Moderate
7263,India,Karanja,152,Unhealthy,1,Good,30,Good,0,Good,152,Unhealthy
7264,Germany,Karben,64,Moderate,1,Good,41,Good,2,Good,64,Moderate
7265,Russia,Kataysk,33,Good,1,Good,33,Good,0,Good,23,Good
7267,Japan,Kazuno,36,Good,1,Good,36,Good,1,Good,22,Good
7268,Israel,Kefar Sava,67,Moderate,1,Good,48,Good,5,Good,67,Moderate
7269,Finland,Kemi,36,Good,1,Good,17,Good,6,Good,36,Good
7270,Greece,Khalandrion,50,Good,1,Good,45,Good,0,Good,50,Good
7271,Pakistan,Kharan,154,Unhealthy,1,Good,46,Good,0,Good,154,Unhealthy
7272,Germany,Lampertheim,60,Moderate,1,Good,35,Good,3,Good,60,Moderate
7274,Germany,Langenhagen,35,Good,0,Good,35,Good,1,Good,22,Good
7275,Netherlands,Laren,30,Good,1,Good,30,Good,2,Good,16,Good
7276,USA,Largo,62,Moderate,1,Good,33,Good,4,Good,62,Moderate
7277,Panama,Las Cumbres,97,Moderate,3,Good,16,Good,12,Good,97,Moderate
7278,Germany,Lauingen,53,Moderate,1,Good,27,Good,6,Good,53,Moderate
7279,France,Le Cannet,100,Unhealthy(SG),2,Good,20,Good,9,Good,100,Unhealthy(SG)
7280,Spain,Leganes,28,Good,1,Good,28,Good,3,Good,16,Good
7281,Italy,Legnano,75,Moderate,1,Good,33,Good,6,Good,75,Moderate
7282,USA,Lenexa,53,Moderate,1,Good,34,Good,4,Good,53,Moderate
7283,Russia,Leninsk,49,Good,1,Good,40,Good,0,Good,49,Good
7284,Russia,Lesozavodsk,37,Good,1,Good,31,Good,0,Good,37,Good
7285,Canada,Lethbridge,38,Good,1,Good,38,Good,0,Good,13,Good
7286,China,Lianran,31,Good,1,Good,19,Good,1,Good,31,Good
7287,USA,Glen Allen,53,Moderate,2,Good,35,Good,5,Good,53,Moderate
7288,Indonesia,Gombong,63,Moderate,1,Good,37,Good,0,Good,63,Moderate
7289,Netherlands,Gorssel,30,Good,0,Good,30,Good,2,Good,17,Good
7290,Poland,Gostyn,84,Moderate,1,Good,37,Good,1,Good,84,Moderate
7291,Burkina Faso,Gourcy,66,Moderate,1,Good,19,Good,0,Good,66,Moderate
7292,Russia,Gryazi,49,Good,1,Good,35,Good,0,Good,49,Good
7293,Pakistan,Gujar Khan,151,Unhealthy,2,Good,130,Unhealthy(SG),0,Good,151,Unhealthy
7294,Russia,Gus Khrustalnyy,35,Good,1,Good,35,Good,0,Good,27,Good
7296,Italy,Gussago,61,Moderate,2,Good,26,Good,7,Good,61,Moderate
7297,Vietnam,Ha Tinh,38,Good,1,Good,28,Good,0,Good,38,Good
7298,USA,Hackensack,117,Unhealthy(SG),3,Good,8,Good,32,Good,117,Unhealthy(SG)
7299,Iran,Hadishahr,36,Good,1,Good,36,Good,0,Good,29,Good
7300,Ethiopia,Hagere Hiywet,54,Moderate,1,Good,24,Good,0,Good,54,Moderate
7301,USA,Ham Lake,50,Good,1,Good,41,Good,3,Good,50,Good
7302,Germany,Hamm,40,Good,1,Good,33,Good,2,Good,40,Good
7303,India,Harihar,53,Moderate,0,Good,22,Good,0,Good,53,Moderate
7304,UK,Harpenden,30,Good,0,Good,30,Good,2,Good,16,Good
7305,Germany,Haselunne,33,Good,0,Good,33,Good,1,Good,14,Good
7306,Iran,Hashtgerd,133,Unhealthy(SG),2,Good,122,Unhealthy(SG),3,Good,133,Unhealthy(SG)
7307,Finland,Haukipudas,40,Good,1,Good,20,Good,5,Good,40,Good
7308,USA,Hazel Park,37,Good,1,Good,30,Good,5,Good,37,Good
7309,UK,Heanor,42,Good,1,Good,21,Good,7,Good,42,Good
7310,Germany,Hechingen,51,Moderate,1,Good,34,Good,2,Good,51,Moderate
7311,Spain,Hellin,26,Good,1,Good,24,Good,1,Good,26,Good
7312,USA,Highland,69,Moderate,2,Good,11,Good,18,Good,69,Moderate
7313,Japan,Hiji,39,Good,1,Good,39,Good,1,Good,18,Good
7314,Germany,Hilden,49,Good,1,Good,31,Good,3,Good,49,Good
7315,Japan,Hirara,42,Good,1,Good,42,Good,0,Good,16,Good
7316,India,Hirekerur,57,Moderate,0,Good,22,Good,0,Good,57,Moderate
7317,UK,Hitchin,26,Good,1,Good,26,Good,5,Good,18,Good
7318,Belgium,Hoogstraten,29,Good,1,Good,29,Good,3,Good,29,Good
7319,China,Houma,142,Unhealthy(SG),2,Good,142,Unhealthy(SG),3,Good,80,Moderate
7320,Poland,Hrubieszow,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
7321,China,Hsinhua,113,Unhealthy(SG),2,Good,113,Unhealthy(SG),3,Good,79,Moderate
7322,Peru,Huanta,19,Good,1,Good,2,Good,2,Good,19,Good
7323,Sweden,Hudiksvall,26,Good,0,Good,26,Good,0,Good,17,Good
7324,Spain,Huesca,37,Good,1,Good,19,Good,2,Good,37,Good
7326,China,Huwei,66,Moderate,2,Good,66,Moderate,6,Good,60,Moderate
7327,Finland,Iisalmi,32,Good,1,Good,32,Good,1,Good,29,Good
7328,China,Shenyang,125,Unhealthy(SG),4,Good,85,Moderate,6,Good,125,Unhealthy(SG)
7329,Bangladesh,Sherpur,65,Moderate,2,Good,65,Moderate,1,Good,60,Moderate
7330,Kazakhstan,Shieli,49,Good,1,Good,41,Good,0,Good,49,Good
7331,India,Shiggaon,53,Moderate,0,Good,22,Good,0,Good,53,Moderate
7332,India,Shujalpur,192,Unhealthy,1,Good,37,Good,0,Good,192,Unhealthy
